calf.id,survive,maternal.id,maternal.age.at.birth
101,1,201,12
102,1,202,30.08
103,1,203,19.15
104,0,204,24.98
105,1,205,20
106,1,206,12
107,0,207,13
108,1,208,12.8
109,0,209,19.11
110,1,210,16
111,1,211,31.04
112,1,212,26.94
113,1,213,17.29
114,1,214,16
115,0,215,18.17
116,0,216,12.08
117,1,217,12.13
118,1,218,13.05
119,1,219,12
120,1,220,17
121,0,221,24.87
122,1,222,19
123,1,204,19
124,0,216,25
125,0,223,18.14
126,0,224,30.97
127,1,214,16
128,1,225,24
129,0,226,12
130,0,227,31.95
131,1,228,28.81
132,1,229,12
133,0,230,16.17
134,0,231,22.04
135,1,232,11.11
136,1,233,24.08
137,1,234,21.92
138,1,235,10.96
139,0,213,29.17
140,0,236,18
141,1,220,21
142,1,237,22.5
143,0,228,22.93
144,0,238,12.04
145,0,212,11.89
146,1,239,24
147,1,240,33.03
148,0,241,16.97
149,1,242,22
150,1,206,20.25
151,1,243,15
152,0,244,19
153,1,245,16
154,1,246,13.2
155,0,247,12.17
156,1,244,23
157,1,248,16.17
158,1,206,16
159,1,249,20.05
160,0,250,13.98
161,0,232,18.1
162,1,251,15.05
163,0,252,26.86
164,0,253,21
165,1,254,17
166,1,210,21
167,0,255,19.15
168,0,256,27
169,1,211,27.08
170,1,257,16.08
171,1,240,27.43
172,1,258,22.97
173,1,259,12
174,1,260,12
175,0,259,28.83
176,0,261,13.92
177,0,212,17.92
178,1,237,12
179,0,262,12.08
180,1,263,18.89
181,1,213,25.05
182,0,264,15.06
183,1,265,22
184,0,216,18.91
185,1,258,22.97
186,0,211,13.13
187,0,266,24.91
188,0,267,24.02
189,1,268,19.25
190,1,213,25.05
191,0,269,27
192,0,233,29.75
193,0,270,13.68
194,0,221,17
195,0,271,25.12
196,1,272,11
197,1,273,23
198,1,211,19.04
199,0,273,29
200,0,274,13.93
201,0,240,14.46
202,0,275,14.11
203,1,276,14.37
204,1,277,13.13
205,1,256,31
206,1,278,13.17
207,1,279,15.09
208,0,280,28
209,1,209,14
210,1,259,16.05
211,1,281,23
212,1,278,22.39
213,1,282,14.89
214,1,249,12
215,1,272,17
216,1,220,29.91
217,1,239,24
218,1,273,23
219,0,255,15.98
220,0,283,13.79
221,1,233,24.08
222,0,221,20.92
223,1,233,13
224,0,284,15.31
225,1,285,12
226,0,286,32.83
227,0,287,22
228,1,288,18
229,1,289,25.07
230,1,273,20
231,0,290,17.17
232,1,291,12.08
