Dolphin.ID,time,event,Sex
1,0.002737851,1,Unknown
2,0.002737851,1,Unknown
3,0.005475702,1,Unknown
4,0.005475702,1,Unknown
5,0.008213552,1,Unknown
6,0.013689254,1,Unknown
7,0.021902806,1,Unknown
8,0.038329911,1,Unknown
9,0.043805613,1,Unknown
10,0.046543463,1,Unknown
11,0.046543463,1,Unknown
12,0.052019165,1,Unknown
13,0.054757016,1,Unknown
14,0.062970568,1,Unknown
15,0.076659822,1,Unknown
16,0.084873374,0,Unknown
17,0.112251882,1,Male
18,0.114989733,0,Male
19,0.114989733,1,Male
20,0.134154689,1,Unknown
21,0.142368241,1,Unknown
22,0.167008898,0,Unknown
23,0.167008898,0,Unknown
24,0.167008898,0,Unknown
25,0.169746749,1,Unknown
26,0.169746749,1,Unknown
27,0.169746749,1,Unknown
28,0.1724846,1,Unknown
29,0.183436003,1,Unknown
30,0.197125257,1,Unknown
31,0.199863107,1,Unknown
32,0.205338809,1,Unknown
33,0.205338809,1,Unknown
34,0.210814511,1,Unknown
35,0.213552361,1,Unknown
36,0.219028063,1,Unknown
37,0.219028063,1,Unknown
38,0.221765914,1,Unknown
39,0.224503765,1,Male
40,0.232717317,1,Unknown
41,0.235455168,1,Unknown
42,0.24366872,1,Unknown
43,0.246406571,1,Unknown
44,0.251882272,1,Unknown
45,0.268309377,1,Unknown
46,0.268309377,1,Unknown
47,0.268309377,1,Unknown
48,0.271047228,1,Unknown
49,0.273785079,1,Unknown
50,0.281998631,1,Unknown
51,0.281998631,1,Unknown
52,0.284736482,1,Unknown
53,0.290212183,1,Unknown
54,0.295687885,1,Unknown
55,0.298425736,1,Unknown
56,0.306639288,1,Female
57,0.31211499,1,Unknown
58,0.314852841,1,Female
59,0.314852841,1,Unknown
60,0.323066393,1,Unknown
61,0.328542094,1,Unknown
62,0.331279945,1,Unknown
63,0.331279945,1,Unknown
64,0.334017796,1,Unknown
65,0.344969199,1,Unknown
66,0.34770705,1,Unknown
67,0.353182752,1,Unknown
68,0.364134155,1,Unknown
69,0.366872005,1,Unknown
70,0.380561259,1,Unknown
71,0.386036961,1,Unknown
72,0.391512663,1,Unknown
73,0.394250513,1,Unknown
74,0.399726215,1,Unknown
75,0.402464066,1,Unknown
76,0.402464066,1,Unknown
77,0.405201916,1,Unknown
78,0.410677618,1,Unknown
79,0.41889117,1,Unknown
80,0.421629021,1,Unknown
81,0.421629021,1,Unknown
82,0.424366872,1,Male
83,0.435318275,1,Unknown
84,0.435318275,1,Unknown
85,0.440793977,1,Unknown
86,0.443531828,1,Female
87,0.449007529,1,Unknown
88,0.45174538,1,Unknown
89,0.454483231,1,Unknown
90,0.457221081,1,Unknown
91,0.459958932,1,Unknown
92,0.479123888,1,Male
93,0.481861739,1,Unknown
94,0.492813142,1,Unknown
95,0.492813142,1,Unknown
96,0.495550992,1,Unknown
97,0.498288843,1,Unknown
98,0.498288843,1,Unknown
99,0.511978097,1,Unknown
100,0.5229295,1,Unknown
101,0.525667351,1,Unknown
102,0.528405202,1,Unknown
103,0.528405202,1,Male
104,0.531143053,1,Unknown
105,0.542094456,1,Unknown
106,0.542094456,1,Unknown
107,0.544832307,1,Unknown
108,0.558521561,1,Female
109,0.563997262,1,Unknown
110,0.572210815,1,Unknown
